,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
73,"74,-0.4546635,-0.55980736,0.45156983,1.7360736,-9.643215,-0.40600848,-0.00079892477,-0.010119714,0.0005326165,1.8071793,-9.960124,-0.39960137"
74,"75,-0.4546635,-0.55980736,0.45156983,1.7360736,-9.643215,-0.40600848,-0.00079892477,-0.010119714,0.0005326165,1.8071793,-9.960124,-0.39960137"
75,"76,-0.4546635,-0.55980736,0.45156983,1.7360736,-9.643215,-0.40600848,-0.00079892477,-0.010119714,0.0005326165,1.8071793,-9.960124,-0.39960137"
76,"77,-0.4546635,-0.55980736,0.45156983,1.7360736,-9.643215,-0.40600848,-0.00079892477,-0.010119714,0.0005326165,1.8071793,-9.960124,-0.39960137"
77,"78,-0.4550566,-0.5600216,0.4514394,1.7415423,-9.642233,-0.40590173,-0.00079892477,-0.010119714,0.0005326165,1.8041883,-9.958329,-0.41635114"
78,"79,-0.4550566,-0.5600216,0.4514394,1.7415423,-9.642233,-0.40590173,-0.0074566314,0.0037283157,0.001065233,1.8041883,-9.958329,-0.41635114"
79,"80,-0.4550566,-0.5600216,0.4514394,1.7415423,-9.642233,-0.40590173,-0.0074566314,0.0037283157,0.001065233,1.8041883,-9.958329,-0.41635114"
80,"81,-0.4550566,-0.5600216,0.4514394,1.7415423,-9.642233,-0.40590173,-0.0074566314,0.0037283157,0.001065233,1.8041883,-9.958329,-0.41635114"
81,"82,-0.4550566,-0.5600216,0.4514394,1.7415423,-9.642233,-0.40590173,-0.0074566314,0.0037283157,0.001065233,1.8041883,-9.958329,-0.41635114"
82,"83,-0.4549022,-0.56014216,0.4512868,1.7401516,-9.642235,-0.4117698,-0.0074566314,0.0037283157,0.001065233,1.7856439,-9.968499,-0.4456632"
83,"84,-0.4549022,-0.56014216,0.4512868,1.7401516,-9.642235,-0.4117698,-0.0074566314,0.0037283157,0.001065233,1.7856439,-9.968499,-0.4456632"
84,"85,-0.4549022,-0.56014216,0.4512868,1.7401516,-9.642235,-0.4117698,-0.004926703,0.003195699,-0.0011983871,1.7856439,-9.968499,-0.4456632"
85,"86,-0.4549022,-0.56014216,0.4512868,1.7401516,-9.642235,-0.4117698,-0.004926703,0.003195699,-0.0011983871,1.7856439,-9.968499,-0.4456632"
86,"87,-0.4549022,-0.56014216,0.4512868,1.7401516,-9.642235,-0.4117698,-0.004926703,0.003195699,-0.0011983871,1.7856439,-9.968499,-0.4456632"
87,"88,-0.4550662,-0.560276,0.451188,1.7369325,-9.64223,-0.4252666,-0.004926703,0.003195699,-0.0011983871,1.7856439,-9.968499,-0.4456632"
88,"89,-0.4550662,-0.560276,0.451188,1.7369325,-9.64223,-0.4252666,-0.004926703,0.003195699,-0.0011983871,1.8047864,-9.960124,-0.44925246"
89,"90,-0.4550662,-0.560276,0.451188,1.7369325,-9.64223,-0.4252666,-0.00026630826,-0.0030625449,0.0009320789,1.8047864,-9.960124,-0.44925246"
90,"91,-0.4550662,-0.560276,0.451188,1.7369325,-9.64223,-0.4252666,-0.00026630826,-0.0030625449,0.0009320789,1.8047864,-9.960124,-0.44925246"
91,"92,-0.4550662,-0.560276,0.451188,1.7369325,-9.64223,-0.4252666,-0.00026630826,-0.0030625449,0.0009320789,1.8047864,-9.960124,-0.44925246"
92,"93,-0.4550662,-0.560276,0.451188,1.7369325,-9.64223,-0.4252666,-0.00026630826,-0.0030625449,0.0009320789,1.8047864,-9.960124,-0.44925246"
93,"94,-0.45544374,-0.56058323,0.4509612,1.7386711,-9.641863,-0.4264861,-0.00026630826,-0.0030625449,0.0009320789,1.7784654,-9.967901,-0.44207397"
94,"95,-0.45544374,-0.56058323,0.4509612,1.7386711,-9.641863,-0.4264861,0.0018641578,-0.0039946237,-0.00013315413,1.7784654,-9.967901,-0.44207397"
95,"96,-0.45544374,-0.56058323,0.4509612,1.7386711,-9.641863,-0.4264861,0.0018641578,-0.0039946237,-0.00013315413,1.7784654,-9.967901,-0.44207397"
96,"97,-0.45544374,-0.56058323,0.4509612,1.7386711,-9.641863,-0.4264861,0.0018641578,-0.0039946237,-0.00013315413,1.7784654,-9.967901,-0.44207397"
97,"98,-0.45542145,-0.5606568,0.45088306,1.735788,-9.642445,-0.42509112,0.0018641578,-0.0039946237,-0.00013315413,1.8047864,-9.959526,-0.46061835"
98,"99,-0.45542145,-0.5606568,0.45088306,1.735788,-9.642445,-0.42509112,-0.0019973118,0.0045272405,-0.00079892477,1.8047864,-9.959526,-0.46061835"
99,"100,-0.45542145,-0.5606568,0.45088306,1.735788,-9.642445,-0.42509112,-0.0019973118,0.0045272405,-0.00079892477,1.8047864,-9.959526,-0.46061835"
100,"101,-0.45542145,-0.5606568,0.45088306,1.735788,-9.642445,-0.42509112,-0.0019973118,0.0045272405,-0.00079892477,1.8047864,-9.959526,-0.46061835"
101,"102,-0.4554718,-0.5605524,0.45099783,1.7380102,-9.641747,-0.43174982,-0.0019973118,0.0045272405,-0.00079892477,1.8041883,-9.960124,-0.4331009"
102,"103,-0.45544845,-0.56087667,0.45066923,1.7363714,-9.64201,-0.43250343,0.00079892477,0.0033288533,0.0011983871,1.7886349,-9.966704,-0.4408776"
103,"104,-0.45544845,-0.56087667,0.45066923,1.7363714,-9.64201,-0.43250343,0.00079892477,0.0033288533,0.0011983871,1.7886349,-9.966704,-0.4408776"
104,"105,-0.45544845,-0.56087667,0.45066923,1.7363714,-9.64201,-0.43250343,0.00079892477,0.0033288533,0.0011983871,1.7886349,-9.966704,-0.4408776"
105,"106,-0.45544845,-0.56087667,0.45066923,1.7363714,-9.64201,-0.43250343,0.00079892477,0.0033288533,0.0011983871,1.7886349,-9.966704,-0.4408776"
106,"107,-0.45561364,-0.56077427,0.4508064,1.7375096,-9.641925,-0.42980796,0.00079892477,0.0033288533,0.0011983871,1.7958134,-9.953544,-0.44805604"
107,"108,-0.45561364,-0.56077427,0.4508064,1.7375096,-9.641925,-0.42980796,-0.00026630826,-0.0017310036,0.0009320789,1.7958134,-9.953544,-0.44805604"
108,"109,-0.45561364,-0.56077427,0.4508064,1.7375096,-9.641925,-0.42980796,-0.00026630826,-0.0017310036,0.0009320789,1.7958134,-9.953544,-0.44805604"
109,"110,-0.45561364,-0.56077427,0.4508064,1.7375096,-9.641925,-0.42980796,-0.00026630826,-0.0017310036,0.0009320789,1.7958134,-9.953544,-0.44805604"
110,"111,-0.45561364,-0.56077427,0.4508064,1.7375096,-9.641925,-0.42980796,-0.00026630826,-0.0017310036,0.0009320789,1.7958134,-9.953544,-0.44805604"
111,"112,-0.45552456,-0.5607241,0.45083767,1.7346169,-9.64246,-0.429487,-0.00026630826,-0.0017310036,0.0009320789,1.7958134,-9.953544,-0.44805604"
112,"113,-0.45552456,-0.5607241,0.45083767,1.7346169,-9.64246,-0.429487,-0.00026630826,-0.0017310036,0.0009320789,1.7952151,-9.958329,-0.44865423"
113,"114,-0.45552456,-0.5607241,0.45083767,1.7346169,-9.64246,-0.429487,-0.00013315413,-0.002130466,0.00039946238,1.7952151,-9.958329,-0.44865423"
114,"115,-0.45552456,-0.5607241,0.45083767,1.7346169,-9.64246,-0.429487,-0.00013315413,-0.002130466,0.00039946238,1.7952151,-9.958329,-0.44865423"
115,"116,-0.45552456,-0.5607241,0.45083767,1.7346169,-9.64246,-0.429487,-0.00013315413,-0.002130466,0.00039946238,1.7952151,-9.958329,-0.44865423"
116,"117,-0.45552456,-0.5607241,0.45083767,1.7346169,-9.64246,-0.429487,-0.00013315413,-0.002130466,0.00039946238,1.7952151,-9.958329,-0.44865423"
117,"118,-0.4555981,-0.56064975,0.45092738,1.7334888,-9.6424055,-0.43522316,-0.00013315413,-0.002130466,0.00039946238,1.7665013,-9.962517,-0.424726"
118,"119,-0.4555981,-0.56064975,0.45092738,1.7334888,-9.6424055,-0.43522316,-0.0005326165,-0.006391398,0.00026630826,1.7665013,-9.962517,-0.424726"
119,"120,-0.4555981,-0.56064975,0.45092738,1.7334888,-9.6424055,-0.43522316,-0.0005326165,-0.006391398,0.00026630826,1.7665013,-9.962517,-0.424726"
120,"121,-0.4555981,-0.56064975,0.45092738,1.7334888,-9.6424055,-0.43522316,-0.0005326165,-0.006391398,0.00026630826,1.7665013,-9.962517,-0.424726"
121,"122,-0.4555981,-0.56064975,0.45092738,1.7334888,-9.6424055,-0.43522316,-0.0005326165,-0.006391398,0.00026630826,1.7665013,-9.962517,-0.424726"
122,"123,-0.45575166,-0.5607857,0.45082408,1.7265416,-9.644008,-0.42725235,-0.0005326165,-0.006391398,0.00026630826,1.7665013,-9.962517,-0.424726"
123,"124,-0.45575166,-0.5607857,0.45082408,1.7265416,-9.644008,-0.42725235,-0.0005326165,-0.006391398,0.00026630826,1.8287147,-9.952348,-0.45104706"
124,"125,-0.45575166,-0.5607857,0.45082408,1.7265416,-9.644008,-0.42725235,-0.005326165,0.00079892477,-0.001065233,1.8287147,-9.952348,-0.45104706"
125,"126,-0.45575166,-0.5607857,0.45082408,1.7265416,-9.644008,-0.42725235,-0.005326165,0.00079892477,-0.001065233,1.8287147,-9.952348,-0.45104706"
126,"127,-0.45575166,-0.5607857,0.45082408,1.7265416,-9.644008,-0.42725235,-0.005326165,0.00079892477,-0.001065233,1.8287147,-9.952348,-0.45104706"
127,"128,-0.45575166,-0.5607857,0.45082408,1.7265416,-9.644008,-0.42725235,-0.005326165,0.00079892477,-0.001065233,1.8287147,-9.952348,-0.45104706"
128,"129,-0.45577472,-0.56040454,0.45120928,1.7396963,-9.641252,-0.4360259,-0.005326165,0.00079892477,-0.001065233,1.8287147,-9.952348,-0.45104706"
129,"130,-0.45577472,-0.56040454,0.45120928,1.7396963,-9.641252,-0.4360259,-0.005326165,0.00079892477,-0.001065233,1.7659031,-9.968499,-0.4648058"
130,"131,-0.45577472,-0.56040454,0.45120928,1.7396963,-9.641252,-0.4360259,-0.00013315413,-0.0015978495,-0.0015978495,1.7659031,-9.968499,-0.4648058"
131,"132,-0.45577472,-0.56040454,0.45120928,1.7396963,-9.641252,-0.4360259,-0.00013315413,-0.0015978495,-0.0015978495,1.7659031,-9.968499,-0.4648058"
132,"133,-0.45577472,-0.56040454,0.45120928,1.7396963,-9.641252,-0.4360259,-0.00013315413,-0.0015978495,-0.0015978495,1.7659031,-9.968499,-0.4648058"
133,"134,-0.45577472,-0.56040454,0.45120928,1.7396963,-9.641252,-0.4360259,-0.00013315413,-0.0015978495,-0.0015978495,1.7659031,-9.968499,-0.4648058"
