,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
143,"144,-2.5660303,2.7548628,0.64440036,3.5918992,-9.093687,0.7573011,0.002727555,-0.11485541,0.051376406,-0.41142675,0.09082819,0.11008285"
144,"145,-2.5660303,2.7548628,0.64440036,3.5918992,-9.093687,0.7573011,0.002727555,-0.11485541,0.051376406,-0.41142675,0.09082819,0.11008285"
145,"146,-2.5660303,2.7548628,0.64440036,3.5918992,-9.093687,0.7573011,0.002727555,-0.11485541,0.051376406,-0.41142675,0.09082819,0.11008285"
146,"147,-2.5660303,2.7548628,0.64440036,3.5918992,-9.093687,0.7573011,0.002727555,-0.11485541,0.051376406,-0.41142675,0.09082819,0.11008285"
147,"148,-2.5660303,2.7548628,0.64440036,3.5918992,-9.093687,0.7573011,0.002727555,-0.11485541,0.051376406,-0.41142675,0.09082819,0.11008285"
148,"149,-2.5677428,2.7455277,0.63832664,3.632449,-9.075963,0.77627957,0.009924383,-0.09832506,0.023454633,0.08033279,-0.00010674152,0.06320604"
149,"150,-2.5677428,2.7455277,0.63832664,3.632449,-9.075963,0.77627957,0.009924383,-0.09832506,0.023454633,0.08033279,-0.00010674152,0.06320604"
150,"151,-2.5677428,2.7455277,0.63832664,3.632449,-9.075963,0.77627957,0.009924383,-0.09832506,0.023454633,0.08033279,-0.00010674152,0.06320604"
151,"152,-2.5677428,2.7455277,0.63832664,3.632449,-9.075963,0.77627957,0.009924383,-0.09832506,0.023454633,0.08033279,-0.00010674152,0.06320604"
152,"153,-2.5677428,2.7455277,0.63832664,3.632449,-9.075963,0.77627957,0.009924383,-0.09832506,0.023454633,0.08033279,-0.00010674152,0.06320604"
153,"154,-2.5677428,2.7455277,0.63832664,3.632449,-9.075963,0.77627957,0.009924383,-0.09832506,0.023454633,0.08033279,-0.00010674152,0.06320604"
154,"155,-2.5710576,2.7379591,0.62930644,3.6552875,-9.066297,0.782007,0.008658551,-0.0856167,0.0073064836,0.5458812,-0.34909922,-0.109490655"
155,"156,-2.5710576,2.7379591,0.62930644,3.6552875,-9.066297,0.782007,0.008658551,-0.0856167,0.0073064836,0.5458812,-0.34909922,-0.109490655"
156,"157,-2.5710576,2.7379591,0.62930644,3.6552875,-9.066297,0.782007,0.008658551,-0.0856167,0.0073064836,0.5458812,-0.34909922,-0.109490655"
157,"158,-2.5710576,2.7379591,0.62930644,3.6552875,-9.066297,0.782007,0.008658551,-0.0856167,0.0073064836,0.5458812,-0.34909922,-0.109490655"
158,"159,-2.5710576,2.7379591,0.62930644,3.6552875,-9.066297,0.782007,0.008658551,-0.0856167,0.0073064836,0.5458812,-0.34909922,-0.109490655"
159,"160,-2.5710576,2.7379591,0.62930644,3.6552875,-9.066297,0.782007,0.008658551,-0.0856167,0.0073064836,0.5458812,-0.34909922,-0.109490655"
160,"161,-2.57451,2.7307065,0.59986746,3.6621394,-9.0688505,0.71768546,0.0075055673,-0.077175334,0.004892991,-0.42183882,0.24369916,-0.36010447"
161,"162,-2.57451,2.7307065,0.59986746,3.6621394,-9.0688505,0.71768546,0.0075055673,-0.077175334,0.004892991,-0.42183882,0.24369916,-0.36010447"
162,"163,-2.57451,2.7307065,0.59986746,3.6621394,-9.0688505,0.71768546,0.0075055673,-0.077175334,0.004892991,-0.42183882,0.24369916,-0.36010447"
