,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
104,"105,2.1099095,-0.06950112,0.17405775,-0.6277797,-4.075802,8.897422,0.00029809345,0.0044863066,-0.008145404,0.018001707,0.010740987,-0.0012234445"
105,"106,2.1099095,-0.06950112,0.17405775,-0.6277797,-4.075802,8.897422,0.00029809345,0.0044863066,-0.008145404,0.018001707,0.010740987,-0.0012234445"
106,"107,2.1099095,-0.06950112,0.17405775,-0.6277797,-4.075802,8.897422,0.00029809345,0.0044863066,-0.008145404,0.018001707,0.010740987,-0.0012234445"
107,"108,2.1099095,-0.06950112,0.17405775,-0.6277797,-4.075802,8.897422,0.00029809345,0.0044863066,-0.008145404,0.018001707,0.010740987,-0.0012234445"
108,"109,2.1132772,-0.0721703,0.16583446,-0.64122593,-4.080897,8.894127,0.00020121309,0.003942286,-0.006927479,0.012726132,0.0043642507,0.0033218195"
109,"110,2.1132772,-0.0721703,0.16583446,-0.64122593,-4.080897,8.894127,0.00020121309,0.003942286,-0.006927479,0.012726132,0.0043642507,0.0033218195"
110,"111,2.1132772,-0.0721703,0.16583446,-0.64122593,-4.080897,8.894127,0.00020121309,0.003942286,-0.006927479,0.012726132,0.0043642507,0.0033218195"
111,"112,2.1132772,-0.0721703,0.16583446,-0.64122593,-4.080897,8.894127,0.00020121309,0.003942286,-0.006927479,0.012726132,0.0043642507,0.0033218195"
112,"113,2.1132772,-0.0721703,0.16583446,-0.64122593,-4.080897,8.894127,0.00020121309,0.003942286,-0.006927479,0.012726132,0.0043642507,0.0033218195"
113,"114,2.1132772,-0.0721703,0.16583446,-0.656133,-4.08454,8.891367,0.0002799949,0.0039380277,-0.007196828,0.009742212,0.0044810055,0.004016709"
114,"115,2.1132772,-0.0721703,0.16583446,-0.656133,-4.08454,8.891367,0.0002799949,0.0039380277,-0.007196828,0.009742212,0.0044810055,0.004016709"
115,"116,2.1132772,-0.0721703,0.16583446,-0.656133,-4.08454,8.891367,0.0002799949,0.0039380277,-0.007196828,0.009742212,0.0044810055,0.004016709"
116,"117,2.1132772,-0.0721703,0.16583446,-0.656133,-4.08454,8.891367,0.0002799949,0.0039380277,-0.007196828,0.009742212,0.0044810055,0.004016709"
117,"118,2.1132772,-0.0721703,0.16583446,-0.656133,-4.08454,8.891367,0.0002799949,0.0039380277,-0.007196828,0.009742212,0.0044810055,0.004016709"
118,"119,2.116756,-0.0750399,0.15860963,-0.6700456,-4.0880575,8.888714,0.00043968784,0.0045757345,-0.009147211,0.007347776,0.0016818595,0.00032945996"
119,"120,2.116756,-0.0750399,0.15860963,-0.6700456,-4.0880575,8.888714,0.00043968784,0.0045757345,-0.009147211,0.007347776,0.0016818595,0.00032945996"
120,"121,2.116756,-0.0750399,0.15860963,-0.6700456,-4.0880575,8.888714,0.00043968784,0.0045757345,-0.009147211,0.007347776,0.0016818595,0.00032945996"
121,"122,2.116756,-0.0750399,0.15860963,-0.6700456,-4.0880575,8.888714,0.00043968784,0.0045757345,-0.009147211,0.007347776,0.0016818595,0.00032945996"
122,"123,2.116756,-0.0750399,0.15860963,-0.6700456,-4.0880575,8.888714,0.00043968784,0.0045757345,-0.009147211,0.007347776,0.0016818595,0.00032945996"
123,"124,2.116756,-0.0750399,0.15860963,-0.6836017,-4.0914063,8.886139,0.0005770238,0.0053603593,-0.011558574,0.0084064845,0.0032929468,6.698079e-05"
124,"125,2.116756,-0.0750399,0.15860963,-0.6836017,-4.0914063,8.886139,0.0005770238,0.0053603593,-0.011558574,0.0084064845,0.0032929468,6.698079e-05"
125,"126,2.116756,-0.0750399,0.15860963,-0.6836017,-4.0914063,8.886139,0.0005770238,0.0053603593,-0.011558574,0.0084064845,0.0032929468,6.698079e-05"
126,"127,2.116756,-0.0750399,0.15860963,-0.6836017,-4.0914063,8.886139,0.0005770238,0.0053603593,-0.011558574,0.0084064845,0.0032929468,6.698079e-05"
127,"128,2.116756,-0.0750399,0.15860963,-0.6836017,-4.0914063,8.886139,0.0005770238,0.0053603593,-0.011558574,0.0084064845,0.0032929468,6.698079e-05"
128,"129,2.116756,-0.0750399,0.15860963,-0.6836017,-4.0914063,8.886139,0.0005770238,0.0053603593,-0.011558574,0.0084064845,0.0032929468,6.698079e-05"
129,"130,2.116756,-0.0750399,0.15860963,-0.69696075,-4.0948,8.883537,0.0006834857,0.0056446125,-0.01278608,0.0060684755,0.004411351,-0.0021506764"
130,"131,2.116756,-0.0750399,0.15860963,-0.69696075,-4.0948,8.883537,0.0006834857,0.0056446125,-0.01278608,0.0060684755,0.004411351,-0.0021506764"
131,"132,2.116756,-0.0750399,0.15860963,-0.69696075,-4.0948,8.883537,0.0006834857,0.0056446125,-0.01278608,0.0060684755,0.004411351,-0.0021506764"
132,"133,2.116756,-0.0750399,0.15860963,-0.69696075,-4.0948,8.883537,0.0006834857,0.0056446125,-0.01278608,0.0060684755,0.004411351,-0.0021506764"
133,"134,2.116756,-0.0750399,0.15860963,-0.69696075,-4.0948,8.883537,0.0006834857,0.0056446125,-0.01278608,0.0060684755,0.004411351,-0.0021506764"
134,"135,2.116756,-0.0750399,0.15860963,-0.69696075,-4.0948,8.883537,0.0006834857,0.0056446125,-0.01278608,0.0060684755,0.004411351,-0.0021506764"
135,"136,2.121788,-0.079139814,0.15008017,-0.7103183,-4.0981092,8.880954,0.00075481524,0.005064395,-0.011858797,0.0051949606,0.0021215607,0.0010027676"
136,"137,2.121788,-0.079139814,0.15008017,-0.7103183,-4.0981092,8.880954,0.00075481524,0.005064395,-0.011858797,0.0051949606,0.0021215607,0.0010027676"
137,"138,2.121788,-0.079139814,0.15008017,-0.7103183,-4.0981092,8.880954,0.00075481524,0.005064395,-0.011858797,0.0051949606,0.0021215607,0.0010027676"
138,"139,2.121788,-0.079139814,0.15008017,-0.7103183,-4.0981092,8.880954,0.00075481524,0.005064395,-0.011858797,0.0051949606,0.0021215607,0.0010027676"
139,"140,2.121788,-0.079139814,0.15008017,-0.7103183,-4.0981092,8.880954,0.00075481524,0.005064395,-0.011858797,0.0051949606,0.0021215607,0.0010027676"
140,"141,2.121788,-0.079139814,0.15008017,-0.7103183,-4.0981092,8.880954,0.00075481524,0.005064395,-0.011858797,0.0051949606,0.0021215607,0.0010027676"
141,"142,2.121788,-0.079139814,0.15008017,-0.7239171,-4.1013036,8.878381,0.0005844761,0.003421687,-0.008146469,0.0047849705,0.0017959407,-0.0017000872"
142,"143,2.121788,-0.079139814,0.15008017,-0.7239171,-4.1013036,8.878381,0.0005844761,0.003421687,-0.008146469,0.0047849705,0.0017959407,-0.0017000872"
143,"144,2.121788,-0.079139814,0.15008017,-0.7239171,-4.1013036,8.878381,0.0005844761,0.003421687,-0.008146469,0.0047849705,0.0017959407,-0.0017000872"
144,"145,2.121788,-0.079139814,0.15008017,-0.7239171,-4.1013036,8.878381,0.0005844761,0.003421687,-0.008146469,0.0047849705,0.0017959407,-0.0017000872"
145,"146,2.121788,-0.079139814,0.15008017,-0.7239171,-4.1013036,8.878381,0.0005844761,0.003421687,-0.008146469,0.0047849705,0.0017959407,-0.0017000872"
146,"147,2.121788,-0.079139814,0.15008017,-0.7239171,-4.1013036,8.878381,0.0005844761,0.003421687,-0.008146469,0.0047849705,0.0017959407,-0.0017000872"
147,"148,2.121788,-0.079139814,0.15008017,-0.73525035,-4.1039953,8.8762045,0.00029809345,0.0017438467,-0.004152016,0.003629698,0.00054532476,-0.0014338167"
148,"149,2.121788,-0.079139814,0.15008017,-0.73525035,-4.1039953,8.8762045,0.00029809345,0.0017438467,-0.004152016,0.003629698,0.00054532476,-0.0014338167"
149,"150,2.121788,-0.079139814,0.15008017,-0.73525035,-4.1039953,8.8762045,0.00029809345,0.0017438467,-0.004152016,0.003629698,0.00054532476,-0.0014338167"
150,"151,2.121788,-0.079139814,0.15008017,-0.73525035,-4.1039953,8.8762045,0.00029809345,0.0017438467,-0.004152016,0.003629698,0.00054532476,-0.0014338167"
151,"152,2.121788,-0.079139814,0.15008017,-0.73525035,-4.1039953,8.8762045,0.00029809345,0.0017438467,-0.004152016,0.003629698,0.00054532476,-0.0014338167"
152,"153,2.121788,-0.079139814,0.15008017,-0.73525035,-4.1039953,8.8762045,0.00029809345,0.0017438467,-0.004152016,0.003629698,0.00054532476,-0.0014338167"
153,"154,2.1273217,-0.0825126,0.14128238,-0.7446727,-4.105896,8.87454,-8.623418e-05,5.8554073e-05,-0.00039603843,0.0041335546,0.0023040324,-0.001115342"
154,"155,2.1273217,-0.0825126,0.14128238,-0.7446727,-4.105896,8.87454,-8.623418e-05,5.8554073e-05,-0.00039603843,0.0041335546,0.0023040324,-0.001115342"
155,"156,2.1273217,-0.0825126,0.14128238,-0.7446727,-4.105896,8.87454,-8.623418e-05,5.8554073e-05,-0.00039603843,0.0041335546,0.0023040324,-0.001115342"
156,"157,2.1273217,-0.0825126,0.14128238,-0.7446727,-4.105896,8.87454,-8.623418e-05,5.8554073e-05,-0.00039603843,0.0041335546,0.0023040324,-0.001115342"
157,"158,2.1273217,-0.0825126,0.14128238,-0.7446727,-4.105896,8.87454,-8.623418e-05,5.8554073e-05,-0.00039603843,0.0041335546,0.0023040324,-0.001115342"
158,"159,2.1273217,-0.0825126,0.14128238,-0.7446727,-4.105896,8.87454,-8.623418e-05,5.8554073e-05,-0.00039603843,0.0041335546,0.0023040324,-0.001115342"
