,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
81,"82,-2.297044,2.752221,1.855662,3.609838,-4.8351874,7.7304864,0.0257936,0.052321788,-0.023297068,-0.39641908,0.9510497,0.9692937"
82,"83,-2.297044,2.752221,1.855662,3.609838,-4.8351874,7.7304864,0.0257936,0.052321788,-0.023297068,-0.39641908,0.9510497,0.9692937"
83,"84,-2.29892,2.7453227,1.8631394,3.694329,-5.2265,7.430075,-0.060288336,0.15931924,-0.089071386,-0.40781903,0.50651383,0.3919829"
84,"85,-2.29892,2.7453227,1.8631394,3.694329,-5.2265,7.430075,-0.060288336,0.15931924,-0.089071386,-0.40781903,0.50651383,0.3919829"
85,"86,-2.29892,2.7453227,1.8631394,3.694329,-5.2265,7.430075,-0.060288336,0.15931924,-0.089071386,-0.40781903,0.50651383,0.3919829"
86,"87,-2.29892,2.7453227,1.8631394,3.694329,-5.2265,7.430075,-0.060288336,0.15931924,-0.089071386,-0.40781903,0.50651383,0.3919829"
87,"88,-2.29892,2.7453227,1.8631394,3.694329,-5.2265,7.430075,-0.060288336,0.15931924,-0.089071386,-0.40781903,0.50651383,0.3919829"
88,"89,-2.2994375,2.7371504,1.871952,3.7923582,-5.580832,7.11637,-0.14900202,0.27803388,-0.15173596,0.23721029,-0.1578085,0.48545015"
89,"90,-2.2994375,2.7371504,1.871952,3.7923582,-5.580832,7.11637,-0.14900202,0.27803388,-0.15173596,0.23721029,-0.1578085,0.48545015"
90,"91,-2.2994375,2.7371504,1.871952,3.7923582,-5.580832,7.11637,-0.14900202,0.27803388,-0.15173596,0.23721029,-0.1578085,0.48545015"
91,"92,-2.2994375,2.7371504,1.871952,3.7923582,-5.580832,7.11637,-0.14900202,0.27803388,-0.15173596,0.23721029,-0.1578085,0.48545015"
92,"93,-2.2994375,2.7371504,1.871952,3.7923582,-5.580832,7.11637,-0.14900202,0.27803388,-0.15173596,0.23721029,-0.1578085,0.48545015"
93,"94,-2.2994375,2.7371504,1.871952,3.7923582,-5.580832,7.11637,-0.14900202,0.27803388,-0.15173596,0.23721029,-0.1578085,0.48545015"
94,"95,-2.2986813,2.728037,1.8868468,3.891639,-5.922088,6.7789674,-0.21080424,0.36839986,-0.1924321,-0.34670427,0.90029246,0.44861588"
95,"96,-2.2986813,2.728037,1.8868468,3.891639,-5.922088,6.7789674,-0.21080424,0.36839986,-0.1924321,-0.34670427,0.90029246,0.44861588"
96,"97,-2.2986813,2.728037,1.8868468,3.891639,-5.922088,6.7789674,-0.21080424,0.36839986,-0.1924321,-0.34670427,0.90029246,0.44861588"
97,"98,-2.2986813,2.728037,1.8868468,3.891639,-5.922088,6.7789674,-0.21080424,0.36839986,-0.1924321,-0.34670427,0.90029246,0.44861588"
98,"99,-2.2986813,2.728037,1.8868468,3.891639,-5.922088,6.7789674,-0.21080424,0.36839986,-0.1924321,-0.34670427,0.90029246,0.44861588"
99,"100,-2.2986813,2.728037,1.8868468,3.891639,-5.922088,6.7789674,-0.21080424,0.36839986,-0.1924321,-0.34670427,0.90029246,0.44861588"
100,"101,-2.2991743,2.720224,1.9050575,3.9748714,-6.2382736,6.4385343,-0.24127364,0.42384204,-0.21226276,-0.28647968,0.2501091,0.5749908"
101,"102,-2.2991743,2.720224,1.9050575,3.9748714,-6.2382736,6.4385343,-0.24127364,0.42384204,-0.21226276,-0.28647968,0.2501091,0.5749908"
102,"103,-2.2991743,2.720224,1.9050575,3.9748714,-6.2382736,6.4385343,-0.24127364,0.42384204,-0.21226276,-0.28647968,0.2501091,0.5749908"
103,"104,-2.2991743,2.720224,1.9050575,3.9748714,-6.2382736,6.4385343,-0.24127364,0.42384204,-0.21226276,-0.28647968,0.2501091,0.5749908"
104,"105,-2.2991743,2.720224,1.9050575,3.9748714,-6.2382736,6.4385343,-0.24127364,0.42384204,-0.21226276,-0.28647968,0.2501091,0.5749908"
105,"106,-2.2991743,2.720224,1.9050575,3.9748714,-6.2382736,6.4385343,-0.24127364,0.42384204,-0.21226276,-0.28647968,0.2501091,0.5749908"
106,"107,-2.3005774,2.7133503,1.928668,4.042255,-6.533429,6.094659,-0.25701192,0.45377916,-0.21667774,-0.037018117,0.25370175,0.4203493"
107,"108,-2.3005774,2.7133503,1.928668,4.042255,-6.533429,6.094659,-0.25701192,0.45377916,-0.21667774,-0.037018117,0.25370175,0.4203493"
108,"109,-2.3005774,2.7133503,1.928668,4.042255,-6.533429,6.094659,-0.25701192,0.45377916,-0.21667774,-0.037018117,0.25370175,0.4203493"
109,"110,-2.3005774,2.7133503,1.928668,4.042255,-6.533429,6.094659,-0.25701192,0.45377916,-0.21667774,-0.037018117,0.25370175,0.4203493"
110,"111,-2.3005774,2.7133503,1.928668,4.042255,-6.533429,6.094659,-0.25701192,0.45377916,-0.21667774,-0.037018117,0.25370175,0.4203493"
111,"112,-2.3005774,2.7133503,1.928668,4.042255,-6.533429,6.094659,-0.25701192,0.45377916,-0.21667774,-0.037018117,0.25370175,0.4203493"
112,"113,-2.3033774,2.7077856,1.9585596,4.088746,-6.80804,5.7535324,-0.264081,0.44704223,-0.20178159,-0.2646213,0.6220575,0.6633129"
113,"114,-2.3033774,2.7077856,1.9585596,4.088746,-6.80804,5.7535324,-0.264081,0.44704223,-0.20178159,-0.2646213,0.6220575,0.6633129"
114,"115,-2.3033774,2.7077856,1.9585596,4.088746,-6.80804,5.7535324,-0.264081,0.44704223,-0.20178159,-0.2646213,0.6220575,0.6633129"
115,"116,-2.3033774,2.7077856,1.9585596,4.088746,-6.80804,5.7535324,-0.264081,0.44704223,-0.20178159,-0.2646213,0.6220575,0.6633129"
116,"117,-2.3033774,2.7077856,1.9585596,4.088746,-6.80804,5.7535324,-0.264081,0.44704223,-0.20178159,-0.2646213,0.6220575,0.6633129"
117,"118,-2.3033774,2.7077856,1.9585596,4.088746,-6.80804,5.7535324,-0.264081,0.44704223,-0.20178159,-0.2646213,0.6220575,0.6633129"
118,"119,-2.3059628,2.7016792,1.9996763,4.126123,-7.0607877,5.412094,-0.24922849,0.3866847,-0.16375019,-0.1875941,0.28682882,0.31025738"
119,"120,-2.3059628,2.7016792,1.9996763,4.126123,-7.0607877,5.412094,-0.24922849,0.3866847,-0.16375019,-0.1875941,0.28682882,0.31025738"
120,"121,-2.3059628,2.7016792,1.9996763,4.126123,-7.0607877,5.412094,-0.24922849,0.3866847,-0.16375019,-0.1875941,0.28682882,0.31025738"
121,"122,-2.3059628,2.7016792,1.9996763,4.126123,-7.0607877,5.412094,-0.24922849,0.3866847,-0.16375019,-0.1875941,0.28682882,0.31025738"
122,"123,-2.3059628,2.7016792,1.9996763,4.126123,-7.0607877,5.412094,-0.24922849,0.3866847,-0.16375019,-0.1875941,0.28682882,0.31025738"
123,"124,-2.3059628,2.7016792,1.9996763,4.126123,-7.0607877,5.412094,-0.24922849,0.3866847,-0.16375019,-0.1875941,0.28682882,0.31025738"
124,"125,-2.3089328,2.6948094,2.0587943,4.1455092,-7.298223,5.0715947,-0.21211265,0.29682976,-0.1160893,0.2634471,-0.27869317,0.23405826"
125,"126,-2.3089328,2.6948094,2.0587943,4.1455092,-7.298223,5.0715947,-0.21211265,0.29682976,-0.1160893,0.2634471,-0.27869317,0.23405826"
126,"127,-2.3089328,2.6948094,2.0587943,4.1455092,-7.298223,5.0715947,-0.21211265,0.29682976,-0.1160893,0.2634471,-0.27869317,0.23405826"
127,"128,-2.3089328,2.6948094,2.0587943,4.1455092,-7.298223,5.0715947,-0.21211265,0.29682976,-0.1160893,0.2634471,-0.27869317,0.23405826"
128,"129,-2.3089328,2.6948094,2.0587943,4.1455092,-7.298223,5.0715947,-0.21211265,0.29682976,-0.1160893,0.2634471,-0.27869317,0.23405826"
129,"130,-2.3089328,2.6948094,2.0587943,4.1455092,-7.298223,5.0715947,-0.21211265,0.29682976,-0.1160893,0.2634471,-0.27869317,0.23405826"
